Symbol,Description,Sector,Industry,Sub-Industry,asset_type,exchange_code,data_source
AFK,VANECK ETF TRUST VANECK AFRICA INDEX ETF,,,,ETF,UNKNOWN,THINKORSWIM
AFLG,FIRST TR EXCH TRADED FD VIII ACTV FCTR LGCP ETF,,,,ETF,UNKNOWN,THINKORSWIM
AFMC,FIRST TR EXCH TRADED FD VIII ACTV FCTR MDCP ETF,,,,ETF,UNKNOWN,THINKORSWIM
AFSM,FIRST TR EXCH TRADED FD VIII ACTV FCTR SMCP ETF,,,,ETF,UNKNOWN,THINKORSWIM
AFTY,PACER FDS TR CSOP FTSE CHINA A50 ETF,,,,ETF,UNKNOWN,THINKORSWIM
AGG,ISHARES TRUST CORE US AGGBD ET ETF,,,,ETF,UNKNOWN,THINKORSWIM
AGGY,WISDOMTREE TRUST YLD ENH US AGGREGATE BD FD,,,,ETF,UNKNOWN,THINKORSWIM
AGQ,PROSHARES TRUST II ULTRA SILVER NEW ETF,,,,ETF,UNKNOWN,THINKORSWIM
AGZ,ISHARES TRUST AGENCY BOND ETF,,,,ETF,UNKNOWN,THINKORSWIM
AGZD,WISDOMTREE TRUST INTRST RATE HDGE ETF,,,,ETF,UNKNOWN,THINKORSWIM
AIA,ISHARES TRUST ASIA 50 ETF,,,,ETF,UNKNOWN,THINKORSWIM
AIEQ,ETF MANAGERS TRUST AI POWERED EQT ETF,,,,ETF,UNKNOWN,THINKORSWIM
AIQ,GLOBAL X FDS ARTIFICIAL INTELL & TECH ETF,Health Care,Pharmaceuticals,Pharmaceuticals,ETF,UNKNOWN,THINKORSWIM
AIRR,FIRST TR EXCHANGE TRADED FD VI RBA INDL ETF,,,,ETF,UNKNOWN,THINKORSWIM
ALTL,PACER FDS TR LUNT LARGE CAP ALTERNATOR ETF,,,,ETF,UNKNOWN,THINKORSWIM
ALTY,GLOBAL X FDS ALTERNATIVE INCOME ETF,,,,ETF,UNKNOWN,THINKORSWIM
AMLP,ALPS ETF TRUST ALERIAN MLP ETF,,,,ETF,UNKNOWN,THINKORSWIM
AMNA,UBS AG LONDON ETRACS ALERIAN MIDSTREAM *CLBL,,,,ETF,UNKNOWN,THINKORSWIM
AMND,UBS AG LONDON ETRACS ALERIAN MIDS EGY *CLBL,,,,ETF,UNKNOWN,THINKORSWIM
AMOM,EXCHANGE LISTED FUNDS TRUST QRAFT AI US MMTM ETF,,,,ETF,UNKNOWN,THINKORSWIM
AMZA,ETFIS SER TR I INFRAC ACT MLP ETF,,,,ETF,UNKNOWN,THINKORSWIM
ANEW,PROSHARES TRUST MSCI TRANSFORMATIONAL CHANG,,,,ETF,UNKNOWN,THINKORSWIM
ANGL,VANECK ETF TRUST FALLEN ANGEL HIGH YLD BD EF,,,,ETF,UNKNOWN,THINKORSWIM
AOA,ISHARES TRUST AGGRES ALLOC ETF,,,,ETF,UNKNOWN,THINKORSWIM
AOK,ISHARES TRUST CONSER ALLOC ETF,,,,ETF,UNKNOWN,THINKORSWIM
AOM,ISHARES TRUST MODERT ALLOC ETF,,,,ETF,UNKNOWN,THINKORSWIM
AOR,ISHARES TRUST GRWT ALLOCAT ETF,,,,ETF,UNKNOWN,THINKORSWIM
ARB,ALTSHARES TR ALTSHARES MERGER ARBITRAGE ETF,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services,ETF,UNKNOWN,THINKORSWIM
ARCM,ARROW INVTS TR RESV CAP ETF,,,,ETF,UNKNOWN,THINKORSWIM
ARGT,GLOBAL X FDS GB MSCI AR ETF,,,,ETF,UNKNOWN,THINKORSWIM
ARKF,ARK ETF TR FINTECH INNOVA ETF,,,,ETF,UNKNOWN,THINKORSWIM
ARKG,ARK ETF TR GENOMIC REV ETF,,,,ETF,UNKNOWN,THINKORSWIM
ARKK,ARK ETF TR INNOVATION ETF,,,,ETF,UNKNOWN,THINKORSWIM
ARKQ,ARK ETF TR AUTNMUS TECHNLGY ETF,,,,ETF,UNKNOWN,THINKORSWIM
ARKW,ARK ETF TR NEXT GNRTN INTER ETF,,,,ETF,UNKNOWN,THINKORSWIM
ASEA,GLOBAL X FDS GBL X FTSE ETF,,,,ETF,UNKNOWN,THINKORSWIM
ASET,FLEXSHARES TRUST REAL ASST IDX ETF,,,,ETF,UNKNOWN,THINKORSWIM
ASHR,DBX ETF TRUST XTRACK HRVST CSI ETF,,,,ETF,UNKNOWN,THINKORSWIM
ASHS,DBX ETF TRUST XTRACK CSI 500 A ETF,,,,ETF,UNKNOWN,THINKORSWIM
ASHX,DBX ETF TRUST XTRACK MSCI CHIN ETF,,,,ETF,UNKNOWN,THINKORSWIM
AUGZ,LISTED FUND TRUST TRUESHARES STRUCTURED OUTCO,,,,ETF,UNKNOWN,THINKORSWIM
AUSF,GLOBAL X FDS ADAPTIVE US ETF,,,,ETF,UNKNOWN,THINKORSWIM
AVDE,AMERICAN CENTURY INVESTMENTS INTL EQT ETF,,,,ETF,UNKNOWN,THINKORSWIM
AVDV,AMERICAN CENTURY INVESTMENTS INTL SMCP VLU ETF,,,,ETF,UNKNOWN,THINKORSWIM
AVEM,AMERICAN CENTURY INVESTMENTS AVANTIS EMGMKT ETF,,,,ETF,UNKNOWN,THINKORSWIM
AVIG,AMERICAN CENTURY INVESTMENTS AVANTIS CORE FIXED INCOME ETF,,,,ETF,UNKNOWN,THINKORSWIM
AVSF,AMERICAN CENTURY INVESTMENTS AVANTIS SHORT TERM FXD INCO,,,,ETF,UNKNOWN,THINKORSWIM
AVUS,AMERICAN CENTURY INVESTMENTS US EQT ETF,,,,ETF,UNKNOWN,THINKORSWIM
AVUV,AMERICAN CENTURY INVESTMENTS AVANTIS US SML CP VALU ETF,,,,ETF,UNKNOWN,THINKORSWIM
AWAY,ETF MANAGERS TRUST ETFMG TRAVEL TECH ETF,Communication Services,Media,Advertising,ETF,UNKNOWN,THINKORSWIM
BAB,INVESCO EXCH TRADED FD TR II TAXABLE MUN BD ETF,,,,ETF,UNKNOWN,THINKORSWIM
BAPR,INNOVATOR ETFS TRUST US EQUITY BUFFER E,,,,ETF,UNKNOWN,THINKORSWIM
BATT,AMPLIFY ETF TR AMPLIFY LITHIUM & BATTERY ETF,,,,ETF,UNKNOWN,THINKORSWIM
BAUG,INNOVATOR ETFS TRUST INNOVATOR US EQUTY BUFFER E,,,,ETF,UNKNOWN,THINKORSWIM
BBAX,JP MORGAN ETF TRUST BETABUILDERS DEVLPD ASIA PA,,,,ETF,UNKNOWN,THINKORSWIM
BBC,ETFIS SER TR I VIRTUS LIFESC CT ETF,,,,ETF,UNKNOWN,THINKORSWIM
BBCA,JP MORGAN ETF TRUST BETABUILDERS CDA ETF NEW,,,,ETF,UNKNOWN,THINKORSWIM
BBEU,JP MORGAN ETF TRUST BETABUILDERS EUROPE ETF NEW,,,,ETF,UNKNOWN,THINKORSWIM
BBH,VANECK ETF TRUST BIOTECH ETF,,,,ETF,UNKNOWN,THINKORSWIM
BBIN,JP MORGAN ETF TRUST BETABUILDERS I ETF,,,,ETF,UNKNOWN,THINKORSWIM
BBJP,JP MORGAN ETF TRUST BETABUILDERS JAPAN ETF NEW,,,,ETF,UNKNOWN,THINKORSWIM
BBMC,JP MORGAN ETF TRUST BETABUILDERS US MID CAP EQU,,,,ETF,UNKNOWN,THINKORSWIM
BBP,ETFIS SER TR I VIRTUS LIFESC BT ETF,,,,ETF,UNKNOWN,THINKORSWIM
BBRE,JP MORGAN ETF TRUST BETBULD MSCI ETF,,,,ETF,UNKNOWN,THINKORSWIM
BBSA,JP MORGAN ETF TRUST BETABUILDERS 1 5Y US AGG BD,,,,ETF,UNKNOWN,THINKORSWIM
BBUS,JP MORGAN ETF TRUST BETABUILDRS US ETF,,,,ETF,UNKNOWN,THINKORSWIM
BCD,ABERDEEN STANDARD INVESTS ETFS ABRDN BLMBRG COMDTY LNGR DATD,,,,ETF,UNKNOWN,THINKORSWIM
BCI,ABERDEEN STANDARD INVESTS ETFS ABRDN BBRG ALL COMD K1 ETF,,,,ETF,UNKNOWN,THINKORSWIM
BDCX,UBS AG LONDON ETRACS QTY PAY 1.5X LEV *CLBL,,,,ETF,UNKNOWN,THINKORSWIM
BDEC,INNOVATOR ETFS TRUST INNOVATOR US EQUTY BUFFER E,,,,ETF,UNKNOWN,THINKORSWIM
BDRY,ETF MANAGERS GRP COMMODITY TR BREAKWAVE DRY ETF,,,,ETF,UNKNOWN,THINKORSWIM
BETZ,LISTED FUND TRUST ROUNDHILL SPORTS BETTING AN,,,,ETF,UNKNOWN,THINKORSWIM
BFIT,GLOBAL X FDS HEALTH & WELLNESS ETF,,,,ETF,UNKNOWN,THINKORSWIM
BFOR,ALPS ETF TRUST BARRONS 400 ETF,,,,ETF,UNKNOWN,THINKORSWIM
BGRN,ISHARES TRUST USD GREEN BOND ETF,,,,ETF,UNKNOWN,THINKORSWIM
BIB,PROSHARES TRUST PSHS ULT NASB ETF,,,,ETF,UNKNOWN,THINKORSWIM
BIBL,NORTHERN LIGHTS FUND TRUST IV INSPIRE 100 ETF,,,,ETF,UNKNOWN,THINKORSWIM
BIL,SPDR BLOOMBERG 1-3 MONTH T-BILL ETF,,,,ETF,UNKNOWN,THINKORSWIM
BILS,SPDR SPDR BLOOMBERG 3-12 MONTH T,,,,ETF,UNKNOWN,THINKORSWIM
BIS,PROSHARES TRUST ULTRASHT NASDAQ BIOTECHNOLG,,,,ETF,UNKNOWN,THINKORSWIM
BIV,VANGUARD INTERMED TERM ETF,,,,ETF,UNKNOWN,THINKORSWIM
BIZD,VANECK ETF TRUST VANECK BDC INCOME ETF,,,,ETF,UNKNOWN,THINKORSWIM
BJAN,INNOVATOR ETFS TRUST INNOVATOR US EQUTY BUFFE,,,,ETF,UNKNOWN,THINKORSWIM
BJK,VANECK ETF TRUST GAMING ETF,,,,ETF,UNKNOWN,THINKORSWIM
BJUL,INNOVATOR ETFS TRUST INNOVATOR US EQUITY BUFFER,,,,ETF,UNKNOWN,THINKORSWIM
BJUN,INNOVATOR ETFS TRUST INNOVATOR US EQUITY BUFFE,,,,ETF,UNKNOWN,THINKORSWIM
BKAG,BNY MELLON ETF TR BNY MELLON CORE BOND ETF,,,,ETF,UNKNOWN,THINKORSWIM
BKEM,BNY MELLON ETF TR EMERGING MKTS EQUITY ETF,,,,ETF,UNKNOWN,THINKORSWIM
BKF,ISHARES INC MSCI BIC ETF,,,,ETF,UNKNOWN,THINKORSWIM
BKHY,BNY MELLON ETF TR BNY MELLON HIGH YIELD BETA ETF,,,,ETF,UNKNOWN,THINKORSWIM
BKIE,BNY MELLON ETF TR INTL EQUITY ETF,,,,ETF,UNKNOWN,THINKORSWIM
BKLC,BNY MELLON ETF TR US LARGE CAP CORE EQUITY ET,,,,ETF,UNKNOWN,THINKORSWIM
BKLN,INVESCO EXCH TRADED FD TR II SR LN ETF,,,,ETF,UNKNOWN,THINKORSWIM
BKMC,BNY MELLON ETF TR US MID CAP CORE EQUITY ETF,,,,ETF,UNKNOWN,THINKORSWIM
BKSE,BNY MELLON ETF TR US SMALL CAP CORE EQUITY ETF,,,,ETF,UNKNOWN,THINKORSWIM
BLCN,SIREN ETF TR NASDAQ NEXGEN ECONOMY ETF,,,,ETF,UNKNOWN,THINKORSWIM
BLDG,CAMBRIA ETF TRUST CAMBRIA GLOBAL REAL ESTATE ETF,,,,ETF,UNKNOWN,THINKORSWIM
BLES,NORTHERN LIGHTS FUND TRUST IV INSPIRE GLOBAL HOPE ETF,,,,ETF,UNKNOWN,THINKORSWIM
BLOK,AMPLIFY ETF TR BLOCKCHAIN LDR ETF,,,,ETF,UNKNOWN,THINKORSWIM
BLV,VANGUARD LONG TERM BOND ETF,,,,ETF,UNKNOWN,THINKORSWIM
BMAR,INNOVATOR ETFS TRUST INNOVATOR US EQUTY BUFFER E,,,,ETF,UNKNOWN,THINKORSWIM
BMAY,INNOVATOR ETFS TRUST INNOVATOR US EQUTY BUFFER E,,,,ETF,UNKNOWN,THINKORSWIM
BMED,BLACKROCK ETF TRUST FUTURE HEALTH ETF,,,,ETF,UNKNOWN,THINKORSWIM
BND,VANGUARD TOTAL BND MRKT ETF,,,,ETF,UNKNOWN,THINKORSWIM
BNDC,FLEXSHARES TRUST CRE SLCT BD FD ETF,,,,ETF,UNKNOWN,THINKORSWIM
BNDW,VANGUARD TOTAL WLD BD ETF,,,,ETF,UNKNOWN,THINKORSWIM
BNDX,VANGUARD TOTAL INT BD ETF,,,,ETF,UNKNOWN,THINKORSWIM
BNO,UNITED STS BRENT OIL FD LP UNIT ETF,,,,ETF,UNKNOWN,THINKORSWIM
BNOV,INNOVATOR ETFS TRUST INNOVATOR US EQUTY BUFFER E,,,,ETF,UNKNOWN,THINKORSWIM
BOCT,INNOVATOR ETFS TRUST INNOVATOR US EQUTY BUFFER E,,,,ETF,UNKNOWN,THINKORSWIM
BOIL,PROSHARES TRUST II ULTRA BLOOMBERG ETF,,,,ETF,UNKNOWN,THINKORSWIM
BOND,PIMCO ETF TRUST ACTIVE BD ETF,,,,ETF,UNKNOWN,THINKORSWIM
BOTZ,GLOBAL X FDS RBTCS ARTFL INTE ETF,,,,ETF,UNKNOWN,THINKORSWIM
BOUT,INNOVATOR ETFS TRUST IBD BREAKOUT ETF,,,,ETF,UNKNOWN,THINKORSWIM
BRF,VANECK ETF TRUST VANECK BRAZIL SMALL-CAP ETF,,,,ETF,UNKNOWN,THINKORSWIM
BRZU,DIREXION SHARES ETF TRUST DIRXIN DLY MSCI BRZL BUL 2X,,,,ETF,UNKNOWN,THINKORSWIM
BSCO,INVESCO EXCHANGE TRADED SELF I BULSHS 2024 CB ETF,,,,ETF,UNKNOWN,THINKORSWIM
BSCP,INVESCO EXCHANGE TRADED SELF I BULSHS 2025 CB ETF,,,,ETF,UNKNOWN,THINKORSWIM
BSCQ,INVESCO EXCHANGE TRADED SELF I BULSHS 2026 CB ETF,,,,ETF,UNKNOWN,THINKORSWIM
BSCR,INVESCO EXCHANGE TRADED SELF I BULSHS 2027 CB ETF,,,,ETF,UNKNOWN,THINKORSWIM
BSCS,INVESCO EXCHANGE TRADED SELF I INVSCO BLSH 28 ETF,,,,ETF,UNKNOWN,THINKORSWIM
BSCT,INVESCO EXCHANGE TRADED SELF I BULETSHS 2029 ETF,,,,ETF,UNKNOWN,THINKORSWIM
BSCU,INVESCO EXCHANGE TRADED SELF I INVESCO BULLETSHARES 2030 C,,,,ETF,UNKNOWN,THINKORSWIM
BSEP,INNOVATOR ETFS TRUST INNOVATOR US EQUITY BUFFER,,,,ETF,UNKNOWN,THINKORSWIM
BSJO,INVESCO EXCHANGE TRADED SELF I BULSHS 2024 HY ETF,,,,ETF,UNKNOWN,THINKORSWIM
BSJP,INVESCO EXCHANGE TRADED SELF I BULSHS 2025 HY ETF,,,,ETF,UNKNOWN,THINKORSWIM
BSJQ,INVESCO EXCHANGE TRADED SELF I INVSCO BLSH 26 ETF,,,,ETF,UNKNOWN,THINKORSWIM
BSJR,INVESCO EXCHANGE TRADED SELF I BULETSHS 2027 ETF,,,,ETF,UNKNOWN,THINKORSWIM
BSJS,INVESCO EXCHANGE TRADED SELF I INVESCO BULLETSHS 2028 HGH,,,,ETF,UNKNOWN,THINKORSWIM
BSMO,INVESCO EXCHANGE TRADED SELF I BULSHS 2024 MUNI ETF,,,,ETF,UNKNOWN,THINKORSWIM
BSMP,INVESCO EXCHANGE TRADED SELF I BULSHS 2025 MUNI ETF,,,,ETF,UNKNOWN,THINKORSWIM
BSMQ,INVESCO EXCHANGE TRADED SELF I BULSHS 2026 MUNI ETF,,,,ETF,UNKNOWN,THINKORSWIM
BSMR,INVESCO EXCHANGE TRADED SELF I BULSHS 2027 MUNI ETF,,,,ETF,UNKNOWN,THINKORSWIM
BSMS,INVESCO EXCHANGE TRADED SELF I BULSHS 2028 MUNI ETF,,,,ETF,UNKNOWN,THINKORSWIM
BSMT,INVESCO EXCHANGE TRADED SELF I BULSHS 2029 MUNI ETF,,,,ETF,UNKNOWN,THINKORSWIM
BSMU,INVESCO EXCHANGE TRADED SELF I INVESCO BULLETSHARES 2030 M,,,,ETF,UNKNOWN,THINKORSWIM
BSV,VANGUARD SHORT TRM BOND ETF,,,,ETF,UNKNOWN,THINKORSWIM
BTAL,AGF INVESTMENTS TR AGFIQ US MK NTRL ANTI BETA ETF,,,,ETF,UNKNOWN,THINKORSWIM
BTEC,PRINCIPAL EXCHANGE-TRADED FDS PRINCIPAL HEALTHCARE INNOVA,,,,ETF,UNKNOWN,THINKORSWIM
BTEK,BLACKROCK ETF TRUST FUTURE TECH ETF,,,,ETF,UNKNOWN,THINKORSWIM
BUFF,INNOVATOR ETFS TRUST INNOVATOR LADDERED ALLOC,Health Care,Health Care Equipment & Supplies,Health Care Supplies,ETF,UNKNOWN,THINKORSWIM
BUFR,FIRST TR EXCH TRADED FD VIII FT VEST FUND OF BUFFER ETFS,,,,ETF,UNKNOWN,THINKORSWIM
BUG,GLOBAL X FDS CYBRSCURTY ETF,,,,ETF,UNKNOWN,THINKORSWIM
BUL,PACER FDS TR US CHS CWS GWT ETF,,,,ETF,UNKNOWN,THINKORSWIM
BUYZ,FRANKLIN TEMPLETON ETF TR DISRUPTIVE COMMERCE ETF,,,,ETF,UNKNOWN,THINKORSWIM
BWX,SPDR SERIES TRUST SPDR BLOOMBERG INTERNATIONA,,,,ETF,UNKNOWN,THINKORSWIM
BWZ,SPDR SERIES TRUST SPDR BLOOMBERG SHORT TERM I,,,,ETF,UNKNOWN,THINKORSWIM
BYLD,ISHARES TRUST YLD OPTIM BD ETF,,,,ETF,UNKNOWN,THINKORSWIM
BZQ,PROSHARES TRUST ULTRASHORT MSCI BRAZIL CAPPED,,,,ETF,UNKNOWN,THINKORSWIM
CACG,LEGG MASON ETF INVEST TRUST CLEARBRIDGE ALL CAP GRW ESG,,,,ETF,UNKNOWN,THINKORSWIM
CALF,PACER FDS TR PACER US SMALL ETF,,,,ETF,UNKNOWN,THINKORSWIM
CANE,TEUCRIUM COMMODITY TRUST SUGAR FD ETF,,,,ETF,UNKNOWN,THINKORSWIM
CARZ,FIRST TRUST EXCH TRADED FUND 2 S NETWORK FUTURE VEH & TECH,,,,ETF,UNKNOWN,THINKORSWIM
CATH,GLOBAL X FDS S&P 500 CATHOLIC ETF,,,,ETF,UNKNOWN,THINKORSWIM
CBON,VANECK ETF TRUST VANECK CHINA BOND ETF,,,,ETF,UNKNOWN,THINKORSWIM
CCOR,LISTED FUND TRUST CORE ALT FD ETF,,,,ETF,UNKNOWN,THINKORSWIM
CCRV,ISHARES US ETF TRUST COMMODITY CURVE CARRY STRAT,,,,ETF,UNKNOWN,THINKORSWIM
CDC,VICTORY PORTFOLIOS II VCSHS US EQ INCM ETF,,,,ETF,UNKNOWN,THINKORSWIM
CDL,VICTORY PORTFOLIOS II VCSHS US LRG CAP ETF,,,,ETF,UNKNOWN,THINKORSWIM
CEF,SPROTT PHYSICAL GOLD AND SILVE TR UNIT,,,,ETF,UNKNOWN,THINKORSWIM
CEFA,GLOBAL X FDS S&P CATHOLIC VALUES DEVELOP,,,,ETF,UNKNOWN,THINKORSWIM
CEFD,UBS AG LONDON ETR 1.5X QY LEV SNET COM *CLBL,,,,ETF,UNKNOWN,THINKORSWIM
CEFS,EXCHANGE LISTED FUNDS TRUST SABA INT RATE ETF,,,,ETF,UNKNOWN,THINKORSWIM
CEMB,ISHARES INC JP MRG EM CRP BD ETF,,,,ETF,UNKNOWN,THINKORSWIM
CEW,WISDOMTREE TRUST EMERG CUR STR FD ETF,,,,ETF,UNKNOWN,THINKORSWIM
CFA,VICTORY PORTFOLIOS II VCSHS US 500 VOL ETF,,,,ETF,UNKNOWN,THINKORSWIM
CFCV,ACTIVESHARES ETF TR CLEARBRIDGE FOCUS VALUE ESG,,,,ETF,UNKNOWN,THINKORSWIM
CFO,VICTORY PORTFOLIOS II VCSHS US 500 ENH ETF,,,,ETF,UNKNOWN,THINKORSWIM
CGW,INVESCO EXCH TRADED FD TR II S&P GBL WATER ETF,,,,ETF,UNKNOWN,THINKORSWIM
CHAU,DIREXION SHARES ETF TRUST CSI 300 BULL2X ETF,,,,ETF,UNKNOWN,THINKORSWIM
CHB,GLOBAL X FDS CHINA BIOTECH INNOVATION ETF,,,,ETF,UNKNOWN,THINKORSWIM
CHGX,INVESTMENT MANAGERS SER TR II AXS CHANGE FINANCE ESG ETF,,,,ETF,UNKNOWN,THINKORSWIM
CHIC,GLOBAL X FDS MSCI CHINA COMMU ETF,,,,ETF,UNKNOWN,THINKORSWIM
CHIE,GLOBAL X FDS MSCI CHINA ENRGY ETF,,,,ETF,UNKNOWN,THINKORSWIM
CHIH,GLOBAL X FDS MSCI CHINA HC ETF,,,,ETF,UNKNOWN,THINKORSWIM
CHII,GLOBAL X FDS MSCI CHINA INDST ETF,,,,ETF,UNKNOWN,THINKORSWIM
CHIK,GLOBAL X FDS MSCI CHINA IT ETF,,,,ETF,UNKNOWN,THINKORSWIM
CHIM,GLOBAL X FDS MSCI CHINA MATRL ETF,,,,ETF,UNKNOWN,THINKORSWIM
CHIQ,GLOBAL X FDS MSCI CHINA CNSMR ETF,,,,ETF,UNKNOWN,THINKORSWIM
CHIR,GLOBAL X FDS MSCI CHINA REAL ESTATE ETF,,,,ETF,UNKNOWN,THINKORSWIM
CHIS,GLOBAL X FDS MSCI CHINA CON ETF,,,,ETF,UNKNOWN,THINKORSWIM
CHIU,GLOBAL X FDS MSCI CHINA UTL ETF,,,,ETF,UNKNOWN,THINKORSWIM
CHIX,GLOBAL X FDS MSCI CHINA FINANCIALS ETF,,,,ETF,UNKNOWN,THINKORSWIM
CIBR,FIRST TRUST EXCH TRADED FUND 2 NASDAQ CYB ETF,,,,ETF,UNKNOWN,THINKORSWIM
CID,VICTORY PORTFOLIOS II VCSHS INTL HG DV ETF,,,,ETF,UNKNOWN,THINKORSWIM
CIL,VICTORY PORTFOLIOS II VCSHS INTL VOLTY ETF,,,,ETF,UNKNOWN,THINKORSWIM
CIZ,VICTORY PORTFOLIOS II VCSHS DEV ENH VL ETF,,,,ETF,UNKNOWN,THINKORSWIM
CLIX,PROSHARES TRUST LONG ONLINE SHRT ETF,,,,ETF,UNKNOWN,THINKORSWIM
CLOU,GLOBAL X FDS CLOUD COMPUTNG ETF,,,,ETF,UNKNOWN,THINKORSWIM
CMBS,ISHARES TRUST CMBS ETF,,,,ETF,UNKNOWN,THINKORSWIM
CMDY,ISHARES US ETF TRUST BLOOMBERG ROLL ETF,,,,ETF,UNKNOWN,THINKORSWIM
CMF,ISHARES TRUST CALIF MUN BD ETF,,,,ETF,UNKNOWN,THINKORSWIM
CN,DBX ETF TRUST XTRACK MSCI CHNA ETF,,,,ETF,UNKNOWN,THINKORSWIM
CNBS,AMPLIFY ETF TR SEYMOUR CANNBS ETF,,,,ETF,UNKNOWN,THINKORSWIM
CNCR,ETF SERIES SOLUTIONS RANGE CANCER THERAPEUTICS ETF,,,,ETF,UNKNOWN,THINKORSWIM
CNRG,SPDR S&P KENSHO CLEAN ETF,,,,ETF,UNKNOWN,THINKORSWIM
CNXT,VANECK ETF TRUST CHINEXT ETF,,,,ETF,UNKNOWN,THINKORSWIM
CNYA,ISHARES TRUST MSCI CHINA A ETF,,,,ETF,UNKNOWN,THINKORSWIM
COM,DIREXION SHARES ETF TRUST AUSPCE CMD STG ETF,,,,ETF,UNKNOWN,THINKORSWIM
COMB,GRANITESHARES ETF TRUST BBG COMMD K 1 ETF,,,,ETF,UNKNOWN,THINKORSWIM
COMT,ISHARES US ETF TRUST GSCI COMMODITY DYNAMIC ROLL,,,,ETF,UNKNOWN,THINKORSWIM
COPX,GLOBAL X FDS GLOBAL X COPPER ETF,,,,ETF,UNKNOWN,THINKORSWIM
CORN,TEUCRIUM COMMODITY TRUST CORN FD SHS ETF,,,,ETF,UNKNOWN,THINKORSWIM
CORP,PIMCO ETF TRUST INV GRD CRP BD ETF,,,,ETF,UNKNOWN,THINKORSWIM
COWZ,PACER FDS TR US CASH COWS 100 ETF,,,,ETF,UNKNOWN,THINKORSWIM
CPER,UNITED STS COMMODITY INDEX FD CM REP COPP FD ETF,,,,ETF,UNKNOWN,THINKORSWIM
CQQQ,INVESCO EXCH TRADED FD TR II CHINA TECHNLGY ETF,,,,ETF,UNKNOWN,THINKORSWIM
CRAK,VANECK ETF TRUST VANECK OIL REFINERS ETF,,,,ETF,UNKNOWN,THINKORSWIM
CRBN,ISHARES TRUST MSCI LW CRB TG ETF,Financials,Insurance,Reinsurance,ETF,UNKNOWN,THINKORSWIM
CSA,VICTORY PORTFOLIOS II VCSHS US SML CAP ETF,,,,ETF,UNKNOWN,THINKORSWIM
CSB,VICTORY PORTFOLIOS II VCSHS US SMCP HG ETF,,,,ETF,UNKNOWN,THINKORSWIM
CSD,INVESCO EXCHANGE TRADED FD TR S&P SPIN OFF ETF,,,,ETF,UNKNOWN,THINKORSWIM
CSF,VICTORY PORTFOLIOS II VCSHS US DISCVRY ETF,,,,ETF,UNKNOWN,THINKORSWIM
CSM,PROSHARES TRUST LARGE CAP CRE ETF,,,,ETF,UNKNOWN,THINKORSWIM
CSML,INDEXIQ ETF TRUST IQ U.S. SMALL CAP ETF,,,,ETF,UNKNOWN,THINKORSWIM
CTEC,GLOBAL X FDS CLEANTECH ETF,,,,ETF,UNKNOWN,THINKORSWIM
CURE,DIREXION SHARES ETF TRUST HEALTHCARE BUL ETF,,,,ETF,UNKNOWN,THINKORSWIM
CUT,INVESCO EXCH TRADED FD TR II MSCI GBL TIMBR ETF,,,,ETF,UNKNOWN,THINKORSWIM
CVY,INVESCO EXCH TRADED FD TR ZACKS MULT AST ETF,,,,ETF,UNKNOWN,THINKORSWIM
