sector_code, sector_name, industry_group_code, industry_group_name, industry_code, industry_name, sub_industry_code, sub_industry_name
20,Industrials,2010,Capital Goods,201040,Electrical Equipment,20104010,Electrical Components & Equipment
20,Industrials,2010,Capital Goods,201040,Electrical Equipment,20104020,Heavy Electrical Equipment
20,Industrials,2010,Capital Goods,201050,Industrial Conglomerates,20105010,Industrial Conglomerates
20,Industrials,2010,Capital Goods,201060,Machinery,20106010,Construction Machinery & Heavy Transportation Equipment (New Name)
20,Industrials,2010,Capital Goods,201060,Machinery,20106015,Agricultural & Farm Machinery
20,Industrials,2010,Capital Goods,201060,Machinery,20106020,Industrial Machinery & Supplies & Components (New Name)
20,Industrials,2010,Capital Goods,201070,Trading Companies & Distributors,20107010,Trading Companies & Distributors
20,Industrials,2020,Commercial  & Professional Services,202010,Commercial Services & Supplies,20201010,Commercial Printing
20,Industrials,2020,Commercial  & Professional Services,202010,Commercial Services & Supplies,20201050,Environmental & Facilities Services
20,Industrials,2020,Commercial  & Professional Services,202010,Commercial Services & Supplies,20201060,Office Services & Supplies
20,Industrials,2020,Commercial  & Professional Services,202010,Commercial Services & Supplies,20201070,Diversified Support Services
20,Industrials,2020,Commercial  & Professional Services,202010,Commercial Services & Supplies,20201080,Security & Alarm Services
20,Industrials,2020,Commercial  & Professional Services,202020,Professional Services,20202010,Human Resource & Employment Services (Definition Update)
20,Industrials,2020,Commercial  & Professional Services,202020,Professional Services,20202020,Research & Consulting Services
20,Industrials,2020,Commercial  & Professional Services,202020,Professional Services,20202030,"Data Processing & Outsourced Services (Sector Change, New Code & Definition Update)"
20,Industrials,2030,Transportation,203010,Air Freight & Logistics,20301010,Air Freight & Logistics
20,Industrials,2030,Transportation,203020,Passenger Airlines (New name),20302010,Passenger Airlines (New name)
20,Industrials,2030,Transportation,203030,Marine Transportation (New Name),20303010,Marine Transportation (New Name)
20,Industrials,2030,Transportation,203040,Ground Transportation (New Name),20304010,Rail Transportation (New Name)
20,Industrials,2020,Commercial  & Professional Services,203040,Ground Transportation (New Name),20304020,Trucking (Discontinued)
20,Industrials,2020,Commercial  & Professional Services,203040,Ground Transportation (New Name),20304030,Cargo Ground Transportation (New)
20,Industrials,2020,Commercial  & Professional Services,203040,Ground Transportation (New Name),20304040,Passenger Ground Transportation (New)
20,Industrials,2020,Commercial  & Professional Services,203050,Transportation Infrastructure,20305010,Airport Services
20,Industrials,2020,Commercial  & Professional Services,203050,Transportation Infrastructure,20305020,Highways & Railtracks
20,Industrials,2020,Commercial  & Professional Services,203050,Transportation Infrastructure,20305030,Marine Ports & Services
25,Consumer Discretionary,2510,Automobiles & Components,251010,Automobile Components (New Name),25101010,Automotive Parts & Equipment (New Name)
25,Consumer Discretionary,2510,Automobiles & Components,251010,Automobile Components (New Name),25101020,Tires & Rubber
25,Consumer Discretionary,2510,Automobiles & Components,251020,Automobiles,25102010,Automobile Manufacturers
25,Consumer Discretionary,2510,Automobiles & Components,251020,Automobiles,25102020,Motorcycle Manufacturers
25,Consumer Discretionary,2520,Consumer Durables & Apparel,252010,Household Durables,25201010,Consumer Electronics
25,Consumer Discretionary,2520,Consumer Durables & Apparel,252010,Household Durables,25201020,Home Furnishings
25,Consumer Discretionary,2520,Consumer Durables & Apparel,252010,Household Durables,25201030,Homebuilding
25,Consumer Discretionary,2520,Consumer Durables & Apparel,252010,Household Durables,25201040,Household Appliances
25,Consumer Discretionary,2520,Consumer Durables & Apparel,252010,Household Durables,25201050,Housewares & Specialties
25,Consumer Discretionary,2520,Consumer Durables & Apparel,252020,Leisure Products,25202010,Leisure Products
25,Consumer Discretionary,2520,Consumer Durables & Apparel,252030,"Textiles, Apparel & Luxury Goods",25203010,"Apparel, Accessories & Luxury Goods"
25,Consumer Discretionary,2520,Consumer Durables & Apparel,252030,"Textiles, Apparel & Luxury Goods",25203020,Footwear
25,Consumer Discretionary,2520,Consumer Durables & Apparel,252030,"Textiles, Apparel & Luxury Goods",25203030,Textiles
25,Consumer Discretionary,2530,Consumer Services,253010,"Hotels, Restaurants & Leisure",25301010,Casinos & Gaming
25,Consumer Discretionary,2530,Consumer Services,253010,"Hotels, Restaurants & Leisure",25301020,"Hotels, Resorts & Cruise Lines"
25,Consumer Discretionary,2530,Consumer Services,253010,"Hotels, Restaurants & Leisure",25301030,Leisure Facilities
25,Consumer Discretionary,2530,Consumer Services,253010,"Hotels, Restaurants & Leisure",25301040,Restaurants
25,Consumer Discretionary,2530,Consumer Services,253020,Diversified Consumer Services,25302010,Education Services
25,Consumer Discretionary,2530,Consumer Services,253020,Diversified Consumer Services,25302020,Specialized Consumer Services
25,Consumer Discretionary,2550,Consumer Discretionary Distribution & Retail (New Name),255010,Distributors,25501010,Distributors
25,Consumer Discretionary,2550,Consumer Discretionary Distribution & Retail (New Name),255020,Internet & Direct Marketing Retail (Discontinued),25502020,Internet & Direct Marketing Retail (Discontinued)
25,Consumer Discretionary,2550,Consumer Discretionary Distribution & Retail (New Name),255030,Broadline Retail (New Name),25503010,Department Stores (Discontinued)
25,Consumer Discretionary,2550,Consumer Discretionary Distribution & Retail (New Name),255030,Broadline Retail (New Name),25503020,General Merchandise Stores (Discontinued)
25,Consumer Discretionary,2550,Consumer Discretionary Distribution & Retail (New Name),255030,Broadline Retail (New Name),25503030,Broadline Retail (New)
25,Consumer Discretionary,2550,Consumer Discretionary Distribution & Retail (New Name),255040,Specialty Retail,25504010,Apparel Retail
25,Consumer Discretionary,2550,Consumer Discretionary Distribution & Retail (New Name),255040,Specialty Retail,25504020,Computer & Electronics Retail
25,Consumer Discretionary,2550,Consumer Discretionary Distribution & Retail (New Name),255040,Specialty Retail,25504030,Home Improvement Retail
25,Consumer Discretionary,2550,Consumer Discretionary Distribution & Retail (New Name),255040,Specialty Retail,25504040,Other Specialty Retail (New Name)
25,Consumer Discretionary,2550,Consumer Discretionary Distribution & Retail (New Name),255040,Specialty Retail,25504050,Automotive Retail
25,Consumer Discretionary,2550,Consumer Discretionary Distribution & Retail (New Name),255040,Specialty Retail,25504060,Homefurnishing Retail
30,Consumer Staples,3010,Consumer Staples Distribution & Retail (New Name),301010,Consumer Staples Distribution & Retail (New Name),30101010,Drug Retail
30,Consumer Staples,3010,Consumer Staples Distribution & Retail (New Name),301010,Consumer Staples Distribution & Retail (New Name),30101020,Food Distributors
30,Consumer Staples,3010,Consumer Staples Distribution & Retail (New Name),301010,Consumer Staples Distribution & Retail (New Name),30101030,Food Retail
30,Consumer Staples,3010,Consumer Staples Distribution & Retail (New Name),301010,Consumer Staples Distribution & Retail (New Name),30101040,Consumer Staples Merchandise Retail (New Name & Definition Update)
30,Consumer Staples,3020,"Food, Beverage & Tobacco",302010,Beverages,30201010,Brewers
30,Consumer Staples,3020,"Food, Beverage & Tobacco",302010,Beverages,30201020,Distillers & Vintners
30,Consumer Staples,3020,"Food, Beverage & Tobacco",302010,Beverages,30201030,Soft Drinks & Non-alcoholic Beverages (New Name)
30,Consumer Staples,3020,"Food, Beverage & Tobacco",302020,Food Products,30202010,Agricultural Products & Services (New Name)
30,Consumer Staples,3020,"Food, Beverage & Tobacco",302020,Food Products,30202030,Packaged Foods & Meats
30,Consumer Staples,3020,"Food, Beverage & Tobacco",302030,Tobacco,30203010,Tobacco
30,Consumer Staples,3030,Household & Personal Products,303010,Household Products,30301010,Household Products
30,Consumer Staples,3030,Household & Personal Products,303020,Personal Care Products (New Name),30302010,Personal Care Products (New Name)
35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101010,Health Care Equipment
35,Health Care,3510,Health Care Equipment & Services,351010,Health Care Equipment & Supplies,35101020,Health Care Supplies
35,Health Care,3510,Health Care Equipment & Services,351020,Health Care Providers & Services,35102010,Health Care Distributors
35,Health Care,3510,Health Care Equipment & Services,351020,Health Care Providers & Services,35102015,Health Care Services
35,Health Care,3510,Health Care Equipment & Services,351020,Health Care Providers & Services,35102020,Health Care Facilities
35,Health Care,3510,Health Care Equipment & Services,351020,Health Care Providers & Services,35102030,Managed Health Care
35,Health Care,3510,Health Care Equipment & Services,351030,Health Care Technology,35103010,Health Care Technology
35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352010,Biotechnology,35201010,Biotechnology
35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352020,Pharmaceuticals,35202010,Pharmaceuticals
35,Health Care,3520,"Pharmaceuticals, Biotechnology & Life Sciences",352030,Life Sciences Tools & Services,35203010,Life Sciences Tools & Services
40,Financials,4010,Banks,401010,Banks,40101010,Diversified Banks
40,Financials,4010,Banks,401010,Banks,40101015,Regional Banks (Definition Update)
40,Financials,4010,Banks,401020,Thrifts & Mortgage Finance (Discontinued),40102010,Thrifts & Mortgage Finance (Discontinued)
40,Financials,4020,Financial Services (New Name),402010, Financial Services (New Name),40201020,Diversified Financial Services (New Name)
40,Financials,4020,Financial Services (New Name),402010, Financial Services (New Name),40201030,Multi-Sector Holdings
40,Financials,4020,Financial Services (New Name),402010, Financial Services (New Name),40201040,Specialized Finance
40,Financials,4020,Financial Services (New Name),402010, Financial Services (New Name),40201050,Commercial & Residential Mortgage Finance (New)
40,Financials,4020,Financial Services (New Name),402010, Financial Services (New Name),40201060,Transaction & Payment Processing Services (New)
40,Financials,4020,Financial Services (New Name),402020,Consumer Finance,40202010,Consumer Finance
40,Financials,4020,Financial Services (New Name),402030,Capital Markets,40203010,Asset Management & Custody Banks
40,Financials,4020,Financial Services (New Name),402030,Capital Markets,40203020,Investment Banking & Brokerage
40,Financials,4020,Financial Services (New Name),402030,Capital Markets,40203030,Diversified Capital Markets
40,Financials,4020,Financial Services (New Name),402030,Capital Markets,40203040,Financial Exchanges & Data
40,Financials,4020,Financial Services (New Name),402040,"Mortgage Real Estate Investment Trusts (REITs)",40204010,Mortgage REITs*
40,Financials,4030,Insurance,403010,Insurance,40301010,Insurance Brokers
40,Financials,4030,Insurance,403010,Insurance,40301020,Life & Health Insurance
40,Financials,4030,Insurance,403010,Insurance,40301030,Multi-line Insurance
40,Financials,4030,Insurance,403010,Insurance,40301040,Property & Casualty Insurance
40,Financials,4030,Insurance,403010,Insurance,40301050,Reinsurance
45,Information Technology,4510,Software & Services,451020,IT Services,45102010,IT Consulting & Other Services
45,Information Technology,4510,Software & Services,451020,IT Services,45102020,Data Processing & Outsourced Services (Discontinued)
45,Information Technology,4510,Software & Services,451020,IT Services,45102030,Internet Services & Infrastructure
45,Information Technology,4510,Software & Services,451030,Software,45103010,Application Software
45,Information Technology,4510,Software & Services,451030,Software,45103020,Systems Software
45,Information Technology,4520,Technology Hardware & Equipment,452010,Communications Equipment,45201020,Communications Equipment
45,Information Technology,4520,Technology Hardware & Equipment,452020,"Technology Hardware, Storage & Peripherals",45202030,"Technology Hardware, Storage & Peripherals"
45,Information Technology,4520,Technology Hardware & Equipment,452030,"Electronic Equipment, Instruments & Components",45203010,Electronic Equipment & Instruments 
45,Information Technology,4520,Technology Hardware & Equipment,452030,"Electronic Equipment, Instruments & Components",45203015,Electronic Components
45,Information Technology,4520,Technology Hardware & Equipment,452030,"Electronic Equipment, Instruments & Components",45203020,Electronic Manufacturing Services
45,Information Technology,4520,Technology Hardware & Equipment,452030,"Electronic Equipment, Instruments & Components",45203030,Technology Distributors
45,Information Technology,4530,Semiconductors & Semiconductor Equipment,453010,Semiconductors & Semiconductor Equipment,45301010,Semiconductor Materials & Equipment (New Name)
45,Information Technology,4530,Semiconductors & Semiconductor Equipment,453010,Semiconductors & Semiconductor Equipment,45301020,Semiconductors
50,Communication Services,5010,Telecommunication Services,501010,Diversified Telecommunication Services,50101010,Alternative Carriers
50,Communication Services,5010,Telecommunication Services,501010,Diversified Telecommunication Services,50101020,Integrated Telecommunication Services
50,Communication Services,5010,Telecommunication Services,501020,Wireless Telecommunication Services,50102010,Wireless Telecommunication Services
50,Communication Services,5020,Media & Entertainment,502010,Media,50201010,Advertising
50,Communication Services,5020,Media & Entertainment,502010,Media,50201020,Broadcasting
50,Communication Services,5020,Media & Entertainment,502010,Media,50201030,Cable & Satellite
50,Communication Services,5020,Media & Entertainment,502010,Media,50201040,Publishing
50,Communication Services,5020,Media & Entertainment,502020,Entertainment,50202010,Movies & Entertainment
50,Communication Services,5020,Media & Entertainment,502020,Entertainment,50202020,Interactive Home Entertainment
50,Communication Services,5020,Media & Entertainment,502030,Interactive Media & Services,50203010,Interactive Media & Services
55,Utilities,5510,Utilities,551010,Electric Utilities,55101010,Electric Utilities
55,Utilities,5510,Utilities,551020,Gas Utilities,55102010,Gas Utilities
55,Utilities,5510,Utilities,551030,Multi-Utilities,55103010,Multi-Utilities
55,Utilities,5510,Utilities,551040,Water Utilities,55104010,Water Utilities
55,Utilities,5510,Utilities,551050,Independent Power and Renewable Electricity Producers,55105010,Independent Power Producers & Energy Traders
55,Utilities,5510,Utilities,551050,Independent Power and Renewable Electricity Producers,55105020,Renewable Electricity 
60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs) (New Name),601010,Diversified REITs (New Name),60101010,Diversified REITs*
60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs) (New Name),601025,Industrial REITs (New),60102510,Industrial REITs* (New Code)
60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs) (New Name),601030,Hotel & Resort REITs (New),60103010,Hotel & Resort REITs* (New Code)
60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs) (New Name),601040,Office REITs (New),60104010,Office REITs* (New Code)
60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs) (New Name),601050,Health Care REITs (New),60105010,Health Care REITs* (New Code)
60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs) (New Name),601050,Health Care REITs (New),60101060,Residential REITs (Discontinued)
60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs) (New Name),601060,Residential REITs (New),60106010,Multi-Family Residential REITs* (New)
60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs) (New Name),601060,Residential REITs (New),60106020,Single-Family Residential REITs* (New)
60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs) (New Name),601070,Retail REITs (New),60107010,Retail REITs* (New Code)
60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs) (New Name),601080,Specialized REITs (New),60108010,Other Specialized REITs* (New Name/ New Code/Definition Update)
60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs) (New Name),601080,Specialized REITs (New),60108020,Self-Storage REITs* (New)
60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs) (New Name),601080,Specialized REITs (New),60108030,Telecom Tower REITs* (New)
60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs) (New Name),601080,Specialized REITs (New),60108040,Timber REITs* (New)
60,Real Estate,6010,Equity Real Estate Investment Trusts (REITs) (New Name),601080,Specialized REITs (New),60108050,Data Center REITs* (New)
60,Real Estate,6020,Real Estate Management & Development (New),602010,Real Estate Management & Development (New Code),60201010,Diversified Real Estate Activities (New Code)
60,Real Estate,6020,Real Estate Management & Development (New),602010,Real Estate Management & Development (New Code),60201020,Real Estate Operating Companies (New Code)
60,Real Estate,6020,Real Estate Management & Development (New),602010,Real Estate Management & Development (New Code),60201030,Real Estate Development (New Code)
60,Real Estate,6020,Real Estate Management & Development (New),602010,Real Estate Management & Development (New Code),60201040,Real Estate Services (New Code)
